epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68026,1.2705,3.45288,1.68485,0.02399,1,0.09814,0.04391,1.69508,4.89308,2.01432,1.111e-05,1.111e-05,1.111e-05
2,17.7302,0.9104,3.32407,1.45735,0.02448,1,0.11897,0.05457,1.2283,4.37488,1.56972,3.26701e-05,3.26701e-05,3.26701e-05
3,26.5452,1.05798,3.48045,1.65236,0.01839,1,0.20397,0.10272,0.65478,4.06122,1.15269,5.33502e-05,5.33502e-05,5.33502e-05
4,35.1108,0.76872,3.27118,1.41099,0.01351,1,0.22745,0.14562,0.42772,3.97233,0.95372,7.31505e-05,7.31505e-05,7.31505e-05
5,43.7444,0.5028,3.17589,1.20804,0.01012,1,0.39044,0.27944,0.31874,3.91392,0.80911,9.20708e-05,9.20708e-05,9.20708e-05
6,52.5577,0.47934,3.15282,1.22271,0.00808,1,0.60558,0.46422,0.22936,3.89703,0.69781,0.000110111,0.000110111,0.000110111
7,61.1111,0.379,3.09061,1.19033,0.00716,1,0.67867,0.57476,0.20742,3.87613,0.65591,0.000127272,0.000127272,0.000127272
8,69.6315,0.46552,3.00576,1.2195,0.00663,1,0.69429,0.64329,0.20257,3.85011,0.64257,0.000143552,0.000143552,0.000143552
9,78.113,0.31135,2.86284,1.12215,0.00654,1,0.73881,0.64197,0.20125,3.8404,0.63128,0.000158953,0.000158953,0.000158953
10,86.5646,0.30554,2.85165,1.06676,0.00649,1,0.54667,0.48028,0.21014,3.8197,0.62175,0.000173474,0.000173474,0.000173474
11,94.9953,0.32405,2.70168,1.10259,0.00654,1,0.42825,0.40871,0.2192,3.80497,0.62902,0.000187115,0.000187115,0.000187115
12,103.43,0.28157,2.68856,1.05008,0.00632,1,0.51539,0.49381,0.21733,3.78936,0.61823,0.000199876,0.000199876,0.000199876
13,111.881,0.29448,2.57082,1.10545,0.00649,1,0.54378,0.51928,0.22615,3.77209,0.63188,0.000211757,0.000211757,0.000211757
14,120.36,0.24112,2.45016,1.03817,0.00667,1,0.47922,0.45451,0.26028,3.77124,0.67133,0.000222758,0.000222758,0.000222758
15,128.818,0.2732,2.37899,1.03547,0.00688,1,0.47028,0.43997,0.32193,3.80733,0.73324,0.000232879,0.000232879,0.000232879
16,137.275,0.37383,2.42225,1.15799,0.00657,1,0.43819,0.40123,0.41236,3.87786,0.79571,0.00024212,0.00024212,0.00024212
17,145.715,0.37384,2.42833,1.09572,0.00577,1,0.39908,0.35167,0.57583,4.011,0.86705,0.000250482,0.000250482,0.000250482
18,154.212,0.30996,2.34554,1.02919,0.00498,1,0.42599,0.37692,0.53043,3.97169,0.86766,0.000257963,0.000257963,0.000257963
19,162.614,0.34793,2.41647,1.08755,0.00458,1,0.48285,0.43696,0.38969,3.83673,0.79275,0.000264565,0.000264565,0.000264565
20,171.1,0.30141,2.12695,1.04031,0.00439,1,0.49877,0.48361,0.3158,3.72255,0.74303,0.000270286,0.000270286,0.000270286
21,180.301,0.30747,2.1711,1.0272,0.00436,1,0.51519,0.49901,0.31946,3.67036,0.7291,0.000275128,0.000275128,0.000275128
22,188.913,0.29687,2.13138,1.00816,0.00432,1,0.53405,0.52049,0.33989,3.63776,0.73552,0.00027909,0.00027909,0.00027909
23,197.432,0.25251,2.01334,1.01556,0.00437,1,0.61372,0.59161,0.33529,3.47766,0.71436,0.000282172,0.000282172,0.000282172
24,205.899,0.36206,1.99868,1.10379,0.07092,1,0.61372,0.56122,0.33424,3.29143,0.71062,0.000284374,0.000284374,0.000284374
25,214.656,0.37418,2.12951,0.99784,0.83227,0.33333,0.54194,0.48972,0.3454,3.08086,0.71987,0.000285696,0.000285696,0.000285696
26,223.847,0.28595,1.82836,1.04357,0.58683,0.43497,0.61583,0.55026,0.32625,2.89029,0.69068,0.000286138,0.000286138,0.000286138
27,232.654,0.26244,1.81043,0.96548,0.5803,0.42853,0.56056,0.51709,0.30045,2.97614,0.66078,0.0002857,0.0002857,0.0002857
28,241.354,0.3819,1.97986,1.05384,0.5803,0.42853,0.56056,0.51709,0.30045,2.97614,0.66078,0.000284383,0.000284383,0.000284383
29,250.039,0.26502,1.82562,0.99478,0.54717,0.2948,0.77433,0.75816,0.30896,3.15241,0.67296,0.000282185,0.000282185,0.000282185
30,258.67,0.27984,1.71131,0.94641,0.29949,1,0.6085,0.59968,0.29712,3.31171,0.67997,0.000279108,0.000279108,0.000279108
31,267.149,0.21924,1.50887,1.01347,0.29949,1,0.6085,0.59968,0.29712,3.31171,0.67997,0.00027515,0.00027515,0.00027515
32,275.608,0.37385,1.85499,1.08702,0.34919,0.88156,0.56383,0.56383,0.28142,3.27109,0.67767,0.000270313,0.000270313,0.000270313
33,284.089,0.26402,1.68227,1.00293,0.22946,0.66667,0.53067,0.53067,0.27005,3.16072,0.67412,0.000264596,0.000264596,0.000264596
34,292.502,0.30957,1.57361,1.0276,0.22946,0.66667,0.53067,0.53067,0.27005,3.16072,0.67412,0.000257999,0.000257999,0.000257999
35,300.967,0.23256,1.49789,0.96391,0.18817,0.66667,0.53067,0.53067,0.26136,3.14089,0.65807,0.000250522,0.000250522,0.000250522
36,309.426,0.23614,1.51923,0.9567,0.18384,0.66667,0.71917,0.71917,0.25449,3.10552,0.64786,0.000242165,0.000242165,0.000242165
37,317.788,0.24176,1.47835,1.03121,0.18384,0.66667,0.71917,0.71917,0.25449,3.10552,0.64786,0.000232928,0.000232928,0.000232928
38,326.24,0.27897,1.57975,1.01869,0.26281,0.7485,0.74117,0.74117,0.27042,3.02033,0.65147,0.000222811,0.000222811,0.000222811
39,334.819,0.25227,1.52278,1.00445,0.33858,1,0.75233,0.7358,0.284,2.80971,0.64187,0.000211814,0.000211814,0.000211814
40,343.263,0.35684,1.60766,1.08078,0.33858,1,0.75233,0.7358,0.284,2.80971,0.64187,0.000199938,0.000199938,0.000199938
41,351.742,0.28148,2.14987,1.05981,0.33285,1,0.55322,0.54441,0.27466,2.68093,0.62382,0.000187181,0.000187181,0.000187181
42,360.087,0.23853,2.15678,0.98717,0.32766,1,0.52625,0.52625,0.23396,2.54756,0.57016,0.000173545,0.000173545,0.000173545
43,368.452,0.22492,1.99398,1.01271,0.32766,1,0.52625,0.52625,0.23396,2.54756,0.57016,0.000159029,0.000159029,0.000159029
44,376.875,0.19343,1.82354,1.02109,0.33,1,0.53122,0.53122,0.20139,2.41818,0.53057,0.000143632,0.000143632,0.000143632
45,385.3,0.17832,1.78029,1.00717,0.33,1,0.53122,0.53122,0.20139,2.41818,0.53057,0.000127356,0.000127356,0.000127356
46,393.722,0.20609,1.8152,1.02088,0.34999,1,0.51836,0.51836,0.1795,2.40252,0.51242,0.0001102,0.0001102,0.0001102
47,402.041,0.16755,1.78984,1.01178,0.34999,1,0.51836,0.51836,0.1795,2.40252,0.51242,9.21641e-05,9.21641e-05,9.21641e-05
48,410.428,0.39593,2.06343,1.33397,0.36143,1,0.51836,0.51836,0.17262,2.40287,0.50829,7.32482e-05,7.32482e-05,7.32482e-05
49,418.791,0.1591,1.86333,1.03904,0.36143,1,0.51836,0.51836,0.17262,2.40287,0.50829,5.34524e-05,5.34524e-05,5.34524e-05
50,427.199,0.14754,1.65628,0.97737,0.3584,1,0.51836,0.51836,0.17014,2.40757,0.5059,3.27767e-05,3.27767e-05,3.27767e-05
